course,access,category,holes,city_state,st,county,lon,lat
Spring Valley Golf Club,Public,Public,9,"Kawkawlin,MI",MI,Bay County,-83.945775,43.667732
The Falls At Barber Creek,Public,Public,9,"Kent City,MI",MI,Kent County,-85.721834,43.257403
A Ga Ming Golf Resort,Public,Public,36,"Kewadin,MI",MI,Antrim County,-85.344776,45.01932
Fore Lakes Golf Club,Public,Public,18,"Kimball,MI",MI,St. Clair County,-82.551371,42.978129
The Oaks At Kincheloe,Municipal,Public,18,"Kincheloe,MI",MI,Chippewa County,-84.45389,46.274786
The Kingsley Club,Private,Private,18,"Kingsley,MI",MI,Grand Traverse County,-85.565925,44.60609
Pine Hills Golf Course,Public,Public,18,"Laingsburg,MI",MI,Shiawassee County,-84.340513,42.892304
Mistwood Golf Course,Public,Public,63,"Lake Ann,MI",MI,Benzie County,-85.877143,44.739341
Missaukee Golf Course,Public,Public,18,"Lake City,MI",MI,Missaukee County,-85.215323,44.261299
Stoney Creek Golf Course,Public,Public,18,"Lake City,MI",MI,Missaukee County,-85.215284,44.270113
The Pines Golf Course at Lake Isabella,Public,Public,18,"Lake Isabella,MI",MI,Isabella County,-84.992477,43.643718
Paint Creek Country Club,Semi Private,Public,18,"Lake Orion,MI",MI,Oakland County,-83.294619,42.79633
Indianwood Golf & Country Club,Semi Private,Public,36,"Lake Orion,MI",MI,Oakland County,-83.267502,42.788571
Bald Mountain Golf Course,Public,Public,36,"Lake Orion,MI",MI,Oakland County,-83.215211,42.735346
Chikaming Country Club,Semi Private,Public,18,"Lakeside,MI",MI,Berrien County,-86.667891,41.84735
Maple Grove Golf Course,Public,Public,27,"Lambertville,MI",MI,Monroe County,-83.624501,41.730365
L Anse Golf Club,Public,Public,9,"Lanse,MI",MI,Baraga County,-88.428824,46.722535
Waverly Hills Golf Course,Municipal,Public,9,"Lansing,MI",MI,Ingham County,-84.599849,42.740887
Groesbeck Municipal Golf Course,Municipal,Public,18,"Lansing,MI",MI,Ingham County,-84.527882,42.747766
Red Cedar Municipal Golf Course,Municipal,Public,9,"Lansing,MI",MI,Ingham County,-84.508248,42.732170000000004
Country Club of Lansing,Private,Private,18,"Lansing,MI",MI,Ingham County,-84.581472,42.720457
Royal Scot Golf Course,Public,Public,27,"Lansing,MI",MI,Clinton County,-84.614533,42.774294
Chisholm Hills Golf Club,Public,Public,18,"Lansing,MI",MI,Ingham County,-84.555606,42.707883
Forest Akers Golf Course MSU,Public,Public,54,"Lansing,MI",MI,Ingham County,-84.50067,42.704706
Lapeer Country Club,Public,Public,18,"Lapeer,MI",MI,Lapeer County,-83.372801,43.024926
Rolling Hills Golf Club,Public,Public,18,"Lapeer,MI",MI,Lapeer County,-83.353526,43.046949
Lawton Golf Club,Public,Public,9,"Lawton,MI",MI,Van Buren County,-85.851423,42.177972
Leland Country Club,Semi Private,Public,18,"Leland,MI",MI,Leelanau County,-85.753939,45.022975
Richmond Forest,Public,Public,18,"Lenox,MI",MI,Macomb County,-82.78129,42.808457
The Rose Golf Course,Public,Public,18,"Leroy,MI",MI,Osceola County,-85.407991,44.073597
Garland Resort,Public,Public,72,"Lewiston,MI",MI,Oscoda County,-84.313224,44.817246
Lakeview Hills Country Club & Resort,Public,Public,36,"Lexington,MI",MI,Sanilac County,-82.554964,43.267217
Lost Lake Woods Club,Private,Private,18,"Lincoln,MI",MI,Alcona County,-83.437749,44.789814
Spring Meadows Country Club,Private,Private,18,"Linden,MI",MI,Genesee County,-83.767981,42.827462
Maple Leaf Golf Course Inc,Public,Public,27,"Linwood,MI",MI,Bay County,-83.987936,43.743893
Jenkins Golf Course,Public,Public,9,"Litchfield,MI",MI,Hillsdale County,-84.709459,42.02858
Whispering Willows Golf Course,Municipal,Public,18,"Livonia,MI",MI,Wayne County,-83.414359,42.437809
Fox Creek Golf Course,Municipal,Public,18,"Livonia,MI",MI,Wayne County,-83.39899,42.425693
Idyl Wyld Country Club,Municipal,Public,18,"Livonia,MI",MI,Wayne County,-83.397089,42.396916
Arrowhead Golf Course,Public,Public,18,"Lowell,MI",MI,Kent County,-85.371438,43.004436
Deer Run Golf Club,Public,Public,18,"Lowell,MI",MI,Kent County,-85.321627,42.88604
Epworth Heights Golf Course,Private,Private,9,"Ludington,MI",MI,Mason County,-86.459643,43.972631
Lincoln Hills Golf Club,Public,Public,18,"Ludington,MI",MI,Mason County,-86.459589,43.983785
Lakeside Links,Public,Public,36,"Ludington,MI",MI,Mason County,-86.412842,43.906119
Hemlock Golf Club,Public,Public,18,"Ludington,MI",MI,Mason County,-86.411204,43.992377
Castle Creek Golf Club,Public,Public,27,"Lum,MI",MI,Lapeer County,-83.145106,43.099627
Green Briar Golf Course,Public,Public,18,"Lupton,MI",MI,Ogemaw County,-83.990008,44.363813
The Jewel Golf Course,Public,Public,18,"Mackinac Island,MI",MI,Mackinac County,-84.636549,45.8548
Burning Tree Golf & Country Club,Semi Private,Public,18,"Macomb,MI",MI,Macomb County,-82.88069,42.644298
Cracklewood Golf Club,Public,Public,18,"Macomb,MI",MI,Macomb County,-82.941745,42.686745
Hickory Hollow Golf Course,Public,Public,18,"Macomb,MI",MI,Macomb County,-82.877351,42.660076
Sycamore Hills Golf Club,Public,Public,54,"Macomb,MI",MI,Macomb County,-82.877318,42.656214
Bello Woods Golf Club,Public,Public,45,"Macomb,MI",MI,Macomb County,-82.872812,42.673544
Red Oaks Golf Course,Municipal,Public,18,"Madison Heights,MI",MI,Oakland County,-83.105795,42.50961
Lakes of the North Deer Run Golf Course,Public,Public,18,"Mancelona,MI",MI,Antrim County,-84.867986,44.914319
Manistee Golf & Country Club,Private,Private,18,"Manistee,MI",MI,Manistee County,-86.339340000000007,44.242001
Manistee National Golf & Resort,Public,Public,36,"Manistee,MI",MI,Manistee County,-86.304999,44.21275
Fox Hills Golf Course,Public,Public,9,"Manistee,MI",MI,Manistee County,-86.293392,44.190121
Indian Lake Golf & Country Club,Public,Public,18,"Manistique,MI",MI,Schoolcraft County,-86.292716,45.996776
Devils Lake Golf Course,Public,Public,18,"Manitou Beach,MI",MI,Lenawee County,-84.280687,42.004191
Emerald Vale Golf Club,Public,Public,18,"Manton,MI",MI,Wexford County,-85.441706,44.410832
North Forty Golf Club,Public,Public,18,"Marcellus,MI",MI,Van Buren County,-85.826163,42.073303
Marlette Golf Club,Public,Public,9,"Marlette,MI",MI,Sanilac County,-83.080196,43.333725
Western Greens Golf Course,Public,Public,18,"Marne,MI",MI,Ottawa County,-85.848538,43.016411
Sand Creek Golf Course & Driving Range,Public,Public,18,"Marne,MI",MI,Ottawa County,-85.831966,43.016422
Marquette Golf Club,Public,Public,36,"Marquette,MI",MI,Marquette County,-87.427089,46.536134
Gentz's Homestead Golf Course,Public,Public,9,"Marquette,MI",MI,Marquette County,-87.336477,46.459575
Northern Michigan University Golf Course,Public,Public,18,"Marquette,MI",MI,Marquette County,-87.284114,46.485128
Marshall Country Club,Private,Private,18,"Marshall,MI",MI,Calhoun County,-84.966296,42.183901
The Medalist Golf Club,Public,Public,18,"Marshall,MI",MI,Calhoun County,-84.991062,42.349853
Alwyn Downs Golf Club,Public,Public,18,"Marshall,MI",MI,Calhoun County,-84.963703,42.254931
Marysville Golf Course,Municipal,Public,18,"Marysville,MI",MI,St. Clair County,-82.474312,42.893085
Branson Bay Golf Course,Public,Public,18,"Mason,MI",MI,Ingham County,-84.586436,42.579299
Eldorado Golf Course,Public,Public,54,"Mason,MI",MI,Ingham County,-84.493296,42.596756
Eagle View Golf Club,Public,Public,18,"Mason,MI",MI,Ingham County,-84.447454,42.553307
Greenbrier Golf Club,Public,Public,18,"Mayville,MI",MI,Lapeer County,-83.317041,43.303898
Golden Sands Golf Course,Public,Public,18,"Mears,MI",MI,Oceana County,-86.467079,43.691297
Willow Tree Golf Course,Public,Public,9,"Melvin,MI",MI,Sanilac County,-82.794023,43.188207
Riverside Country Club,Public,Public,18,"Menominee,MI",MI,Menominee County,-87.641268,45.111629
North Shore Golf Course,Public,Public,18,"Menominee,MI",MI,Menominee County,-87.432928,45.31637
Twin Bridges Golf Course,Public,Public,18,"Merrill,MI",MI,Saginaw County,-84.350154,43.371388
The Briar At Mesick Golf and Country Club,Public,Public,18,"Mesick,MI",MI,Wexford County,-85.688507,44.397136
Metamora Golf & Country Club,Semi Private,Public,18,"Metamora,MI",MI,Lapeer County,-83.32373,42.904575
Overbrook Golf Course,Public,Public,9,"Middleton,MI",MI,Gratiot County,-84.723498,43.204926
Currie Municipal Golf Course,Municipal,Public,54,"Midland,MI",MI,Midland County,-84.252287,43.617616
Midland Country Club,Private,Private,9,"Midland,MI",MI,Midland County,-84.240686,43.630291
Forest View Golf Center,Public,Public,18,"Midland,MI",MI,Midland County,-84.234124,43.727326
Sandy Ridge Golf Course,Public,Public,18,"Midland,MI",MI,Bay County,-84.155876,43.661647
Kensington Golf Course,Municipal,Public,18,"Milford,MI",MI,Oakland County,-83.637234,42.550102
Mystic Creek Golf Club,Public,Public,45,"Milford,MI",MI,Oakland County,-83.630134,42.588672
Fairview Hills Golf Course,Public,Public,18,"Mio,MI",MI,Oscoda County,-84.111849,44.723689
Sidewinder Golf Course,Public,Public,18,"Mio,MI",MI,Oscoda County,-84.170123,44.602159
Monroe Golf & Country Club,Private,Private,18,"Monroe,MI",MI,Monroe County,-83.376242,41.939151
Green Meadows Golf Course,Public,Public,18,"Monroe,MI",MI,Monroe County,-83.499198,41.919612
Carrington Golf Club,Public,Public,18,"Monroe,MI",MI,Monroe County,-83.450809,41.921787
Sandy Creek Golf Course,Public,Public,18,"Monroe,MI",MI,Monroe County,-83.424142,41.985827
Links At Lake Erie,Public,Public,18,"Monroe,MI",MI,Monroe County,-83.395418,41.883934000000004
Old Town Golf & Sport Land,Public,Public,9,"Monroe,MI",MI,Monroe County,-83.373438,41.974319
Raisin River Country Club,Public,Public,36,"Monroe,MI",MI,Monroe County,-83.355012,41.927765
Old Channel Trail Golf Course,Public,Public,45,"Montague,MI",MI,Muskegon County,-86.431641,43.411738
Briar Ridge Golf Course,Public,Public,18,"Montrose,MI",MI,Genesee County,-83.897133,43.146463
De Mor Hills Golf Course,Public,Public,18,"Morenci,MI",MI,Lenawee County,-84.251938,41.763182
Beechwood Greens Golf Course,Public,Public,18,"Mount Morris,MI",MI,Genesee County,-83.701245,43.134101
Mt Pleasant Country Club,Private,Private,18,"Mount Pleasant,MI",MI,Isabella County,-84.773882,43.62628
Riverwood Golf Resort,Public,Public,27,"Mount Pleasant,MI",MI,Isabella County,-84.860538,43.582737
Pleasant Hills Golf Club,Public,Public,18,"Mount Pleasant,MI",MI,Isabella County,-84.759708,43.553389
Pohlcat Golf Course,Public,Public,18,"Mount Pleasant,MI",MI,Isabella County,-84.718125,43.619156
Bucks Run Golf Club,Public,Public,18,"Mount Pleasant,MI",MI,Isabella County,-84.627724,43.618502
Metropolitan Beach Golf Course,Municipal,Public,18,"Mt Clemens,MI",MI,Macomb County,-82.799663,42.573841
Holiday Greens Golf Course,Public,Public,18,"Mt. Pleasant,MI",MI,Isabella County,-84.734424,43.61167
Mullette Lake Golf & Country Club,Public,Public,18,"Mullette Lake,MI",MI,Clare County,-85.004209,43.85734
Pictured Rocks Golf & Country Club,Public,Public,18,"Munising,MI",MI,Alger County,-86.585617,46.420148
Muskegon Country Club,Private,Private,18,"Muskegon,MI",MI,Muskegon County,-86.308138,43.214097
Lincoln Golf Course,Public,Public,18,"Muskegon,MI",MI,Muskegon County,-86.282024,43.344808
Oak Ridge Golf Club,Public,Public,18,"Muskegon,MI",MI,Muskegon County,-86.258128,43.132641
